well,protocol,A600,A700,mhYFP,mRaspberry,date,bacterium,strain,plasmid,promoter,code,biorep,antibiotic,mhYFP_by_A600,mRas_by_A600
B2,PRT14_6,0.8076666666666666,0.70275,552.25,5093.666666666667,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,2,Ampicillin,683.759801898473,6306.644655385886
B3,PRT14_6,0.7966666666666666,0.69175,573.25,5104.666666666667,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,3,Ampicillin,719.560669456067,6407.531380753138
B4,PRT14_6,0.7926666666666666,0.68775,500.25,4984.666666666667,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1min mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1min mRaspberry,pTORC63,4,Ampicillin,631.0975609756098,6288.477712363331
B5,PRT14_6,0.6356666666666666,0.5227499999999999,684.25,19523.666666666668,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1minRBS mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mRaspberry,pTORC64,1,Ampicillin,1076.4289459884635,30713.686418458317
B6,PRT14_6,0.7686666666666666,0.6277499999999999,621.25,37137.666666666664,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1minRBS mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mRaspberry,pTORC64,2,Ampicillin,808.2176929748483,48314.39722463139
B7,PRT14_6,0.6576666666666666,0.55575,624.25,12464.666666666666,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1minRBS mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mRaspberry,pTORC64,3,Ampicillin,949.1890522047644,18952.863659401926
B8,PRT14_6,0.68966666666666665,0.56375,483.25,35442.666666666664,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1minRBS mRaspberry-SalOpt lacO1.1 lacO1.2,PleuWT.1minRBS mRaspberry,pTORC64,4,Ampicillin,700.7008216529724,51391.01014983083
B9,PRT14_6,0.6076666666666666,0.5307499999999999,11456.25,72.66666666666674,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,1,Ampicillin,18852.85244103127,119.5831047723534
B10,PRT14_6,0.5726666666666667,0.5067499999999999,9297.25,86.66666666666674,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,2,Ampicillin,16235.01164144354,151.338766006985
B11,PRT14_6,0.6136666666666666,0.53975,9865.25,90.66666666666674,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,3,Ampicillin,16075.909831613257,147.7457903313418
B12,PRT14_6,0.7286666666666666,0.6357499999999999,14001.25,83.66666666666674,2024_08_09,Escherichia coli K12 MG1655,WT,pBR322 PleuWT.1 mhYFP-SalOpt lacO1.1 lacO1.2,PleuWT.1 mhYFP,pTORC65,4,Ampicillin,19214.89021043001,114.821591948765
C1,PRT14_6,0.7046666666666667,0.59475,635.25,104.66666666666674,2024_08_09,Escherichia coli K12 MG1655,ΔtopA::cat,pBR322,None,pTORC1,1,Ampicillin,901.4900662251656,148.53358561967843
C2,PRT14_6,0.7026666666666667,0.60575,928.25,80.66666666666674,2024_08_09,Escherichia coli K12 MG1655,ΔtopA::cat,pBR322,None,pTORC1,2,Ampicillin,1321.03889943074,114.80075901328284
